Country,Underweight,Wasting,Stunting,TotalMalnutrition
Algeria,2.700000048,2.700000048,9.800000191,15.20000029
Argentina,1.700000048,1.600000024,7.900000095,11.20000017
Bangladesh,22.60000038,9.800000191,28,60.40000057
Burkina Faso,16.39999962,8.100000381,23.79999924,48.29999924
Burundi,27,4.800000191,54,85.80000019
Central African Republic,20.5,5.199999809,40.20000076,65.90000057
Chad,29.20000076,13.89999962,37.79999924,80.89999962
Cuba,2.400000095,2,7.099999905,11.5
Ecuador,5.199999809,3.700000048,23,31.89999986
Ethiopia,21.10000038,7.199999809,36.79999924,65.09999943
Guinea-Bissau,18.79999924,7.800000191,28.10000038,54.69999981
Liberia,10.89999962,3.400000095,29.79999924,44.09999896
Malawi,9,0.600000024,40.90000153,50.50000155
Malaysia,14.10000038,9.699999809,21.79999924,45.59999943
Mali,18.10000038,9.300000191,26.39999962,53.80000019
Mexico,4.699999809,1.399999976,14.10000038,20.20000017
Nepal,24.39999962,12,31.5,67.89999962
Niger,31.29999924,9.800000191,47.09999847,88.1999979
North Macedonia,0.899999976,3.400000095,4.300000191,8.600000262
Panama,3,0.400000006,15.80000019,19.2000002
Peru,2.400000095,3.099999905,12.19999981,17.69999981
Samoa,3.400000095,4.099999905,7.300000191,14.80000019
Sao Tome and Principe,5.400000095,8.100000381,11.69999981,25.20000029
Senegal,14.39999962,2.599999905,17.89999962,34.89999915
Serbia,1,5.400000095,5.400000095,11.80000019
Sierra Leone,13.5,7.699999809,29.5,50.69999981
Thailand,7.699999809,1.100000024,13.39999962,22.19999945
Tonga,0.800000012,4.099999905,2.200000048,7.099999965
Turkmenistan,3.099999905,2.900000095,7.199999809,13.19999981
World,12.86429214,13.5,23.5,49.86429214
Zimbabwe,9.699999809,9.5,9.9,29.09999981
